date,county,cases,deaths,new_cases,new_deaths,new_cases_week_avg,new_deaths_week_avg,aggregation
2020-08-06,Jefferson,80,0,3,0,0.7142857142857143,0,none
2020-08-06,Palo Alto,80,0,0,0,0.8571428571428571,0,none
2020-08-06,Osceola,79,0,1,0,0.2857142857142857,0,none
2020-08-06,Mitchell,78,0,0,0,0.2857142857142857,0,none
2020-08-06,Winnebago,77,0,1,0,0.8571428571428571,0,none
2020-08-06,Grundy,76,1,0,0,0.7142857142857143,0,none
2020-08-06,Union,75,1,1,0,1.2857142857142858,0,none
2020-08-06,Monroe,69,7,0,0,0.42857142857142855,0,none
2020-08-06,Worth,65,0,1,0,1.2857142857142858,0,none
2020-08-06,Lucas,57,4,4,0,2.2857142857142856,0,none
2020-08-06,Chickasaw,54,0,2,0,0.8571428571428571,0,none
2020-08-06,Montgomery,53,4,8,0,1.7142857142857142,0.14285714285714285,none
2020-08-06,Davis,52,1,1,0,0.5714285714285714,0,none
2020-08-06,Cass,50,1,2,0,1.4285714285714286,0.14285714285714285,none
2020-08-06,Howard,49,0,0,0,0.2857142857142857,0,none
2020-08-06,Appanoose,47,3,4,0,1,0,none
2020-08-06,Greene,39,0,1,0,0.2857142857142857,0,none
2020-08-06,Fremont,37,0,3,0,0.8571428571428571,0,none
2020-08-06,Van Buren,34,1,0,0,0.8571428571428571,0,none
2020-08-06,Keokuk,33,1,2,0,0.7142857142857143,0,none
2020-08-06,Ida,29,0,0,0,0,0,none
2020-08-06,Audubon,28,1,0,0,0,0,none
2020-08-06,Adair,27,0,4,0,1,0,none
2020-08-06,Decatur,23,0,0,0,0.42857142857142855,0,none
2020-08-06,Ringgold,21,1,0,0,0,0,none
2020-08-06,Wayne,19,1,0,0,0.5714285714285714,0,none
2020-08-06,Adams,16,0,0,0,0.14285714285714285,0,none
2020-08-05,Polk,9874,204,93,1,87.42857142857143,1.5714285714285714,none
2020-08-05,Woodbury,3673,51,17,0,12.571428571428571,0.5714285714285714,none
2020-08-05,Black Hawk,3054,62,32,0,19.428571428571427,0,none
2020-08-05,Linn,2198,87,53,0,38,0,none
2020-08-05,Johnson,2002,16,43,1,25.714285714285715,0.2857142857142857,none
2020-08-05,Dallas,1807,35,11,0,14.428571428571429,0.14285714285714285,none
2020-08-05,Buena Vista,1790,12,4,0,1.5714285714285714,0,none
2020-08-05,Scott,1636,13,21,1,15.857142857142858,0.2857142857142857,none
2020-08-05,Dubuque,1594,31,45,2,25.428571428571427,0.42857142857142855,none
2020-08-05,Marshall,1407,25,13,1,8.428571428571429,0.14285714285714285,none
2020-08-05,Pottawattamie,1257,24,30,1,23.571428571428573,0.42857142857142855,none
2020-08-05,Story,1126,14,9,0,7.285714285714286,0.14285714285714285,none
2020-08-05,Wapello,866,33,16,1,7.714285714285714,0.2857142857142857,none
2020-08-05,Muscatine,839,48,9,0,7.142857142857143,0.14285714285714285,none
2020-08-05,Webster,763,7,27,1,13.571428571428571,0.2857142857142857,none
2020-08-05,Crawford,726,3,5,0,3.7142857142857144,0,none
2020-08-05,Sioux,607,2,5,0,4.714285714285714,0,none
2020-08-05,Cerro Gordo,586,17,7,0,4,0,none
2020-08-05,Tama,543,29,4,0,2,0,none
2020-08-05,Warren,542,1,8,0,8,0,none
2020-08-05,Jasper,458,25,0,0,2.142857142857143,0.14285714285714285,none
2020-08-05,Wright,451,1,7,0,2,0,none
2020-08-05,Plymouth,448,8,5,0,3.5714285714285716,0,none
2020-08-05,Louisa,378,14,0,0,0.42857142857142855,0,none
2020-08-05,Dickinson,377,4,2,0,1.7142857142857142,0,none
2020-08-05,Clinton,338,3,17,0,9.714285714285714,0.14285714285714285,none
2020-08-05,Washington,288,10,0,0,1,0,none
2020-08-05,Hamilton,243,1,2,0,1.1428571428571428,0,none
2020-08-05,Boone,234,2,3,0,1.8571428571428572,0,none
2020-08-05,Franklin,227,8,2,2,6,0.5714285714285714,none
2020-08-05,Bremer,196,7,4,0,3.142857142857143,0,none
2020-08-05,Clarke,190,3,2,0,3.4285714285714284,0,none
2020-08-05,Emmet,185,2,4,0,3.2857142857142856,0.14285714285714285,none
2020-08-05,Carroll,183,1,1,0,1.4285714285714286,0,none
2020-08-05,Shelby,176,1,7,0,4.714285714285714,0.14285714285714285,none
2020-08-05,Clay,174,1,3,0,0.8571428571428571,0,none
2020-08-05,Hardin,171,0,5,0,3.2857142857142856,0,none
2020-08-05,Marion,159,0,4,0,2.5714285714285716,0,none
2020-08-05,Allamakee,152,4,2,0,0.8571428571428571,0,none
2020-08-05,Poweshiek,151,8,1,0,2.2857142857142856,0,none
2020-08-05,Jackson,146,1,5,0,2.4285714285714284,0,none
2020-08-05,Benton,145,1,0,0,3.5714285714285716,0,none
